equivalence_group_id,representative_record_id,member_count,provenance_sources,member_record_ids,vampire_statuses,eprover_statuses,twee_complete_statuses,theorem_any,counter_satisfiable_any,scientific_conflict
exact_07b49ed02949fb92,alps4141::alps_c75dc04bd867_to_Equation2,1,alps4141,alps4141::alps_c75dc04bd867_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_6043d7b2cb047fba,alps4141::alps_e371e3065ce6_to_Equation2,1,alps4141,alps4141::alps_e371e3065ce6_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
exact_ac8bc700d08a43c2,alps4141::alps_d0c21e24ee9c_to_Equation2,1,alps4141,alps4141::alps_d0c21e24ee9c_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_d6c28bcdcf181dad,alps4141::alps_62ba47e800b4_to_Equation2,1,alps4141,alps4141::alps_62ba47e800b4_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_abc6dace7f9062c7,alps4141::alps_5bac16893ae3_to_Equation2,1,alps4141,alps4141::alps_5bac16893ae3_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
exact_ed4cd5219f26cf05,alps4141::alps_d523058b4f56_to_Equation2,1,alps4141,alps4141::alps_d523058b4f56_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_0aa116417f6d3dae,alps4141::alps_8213dcd0a183_to_Equation2,1,alps4141,alps4141::alps_8213dcd0a183_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_8cf1f993749cbc20,alps4141::alps_bd6d2e608c18_to_Equation2,1,alps4141,alps4141::alps_bd6d2e608c18_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_a0bb88514de4e3d2,alps4141::alps_959de96095f5_to_Equation2,1,alps4141,alps4141::alps_959de96095f5_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_ed2a6266af1511be,alps4141::alps_58495f9e68db_to_Equation2,1,alps4141,alps4141::alps_58495f9e68db_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_2c5b2f6b60f6ec59,alps4141::alps_80e0dc450f2a_to_Equation2,1,alps4141,alps4141::alps_80e0dc450f2a_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
exact_f3bac70d860b229a,alps4141::alps_f6cd6e250a92_to_Equation2,1,alps4141,alps4141::alps_f6cd6e250a92_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_c993dc61e6af3f89,alps4141::alps_998afb4852d1_to_Equation2,1,alps4141,alps4141::alps_998afb4852d1_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
exact_6a887a97105445be,alps4141::alps_3da586fe82a3_to_Equation2,1,alps4141,alps4141::alps_3da586fe82a3_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
exact_4a3fcae6c3408a79,alps4141::alps_b7bc5cde3de9_to_Equation2,1,alps4141,alps4141::alps_b7bc5cde3de9_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
exact_63e2ca87a943a60a,alps4141::alps_a13938efd699_to_Equation2,1,alps4141,alps4141::alps_a13938efd699_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_effcc691eb0be20d,alps4141::alps_b2d68349b55b_to_Equation2,1,alps4141,alps4141::alps_b2d68349b55b_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
exact_89ae38a040117d59,alps4141::alps_3704ef7d1515_to_Equation2,1,alps4141,alps4141::alps_3704ef7d1515_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_a3e0cfec5d8d92ff,alps4141::alps_6472ae4d22cb_to_Equation2,1,alps4141,alps4141::alps_6472ae4d22cb_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_200314d0e47c4ce9,alps4141::alps_18009f302998_to_Equation2,1,alps4141,alps4141::alps_18009f302998_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_07ecc12acb48b11a,alps4141::alps_4c249875f616_to_Equation2,1,alps4141,alps4141::alps_4c249875f616_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_21f68906f989b6d1,alps4141::alps_e78c8ba86a95_to_Equation2,1,alps4141,alps4141::alps_e78c8ba86a95_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_25cb6b5513ba0278,alps4141::alps_f7ff953ec48f_to_Equation2,1,alps4141,alps4141::alps_f7ff953ec48f_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_a21ef2df374de8a1,alps4141::alps_065d15f1e5bd_to_Equation2,1,alps4141,alps4141::alps_065d15f1e5bd_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_159fb9ad8cae06df,alps4141::alps_0c55f3035f5a_to_Equation2,1,alps4141,alps4141::alps_0c55f3035f5a_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_f1e776c25c1ee2da,alps4141::alps_9dd6e03c0d16_to_Equation2,1,alps4141,alps4141::alps_9dd6e03c0d16_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_7c42444aa358d54d,alps4141::alps_7de61eb65b72_to_Equation2,1,alps4141,alps4141::alps_7de61eb65b72_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_f548577a85b47d76,alps4141::alps_a10ea15b94a4_to_Equation2,1,alps4141,alps4141::alps_a10ea15b94a4_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_4c35801cda926395,alps4141::alps_770235030991_to_Equation2,1,alps4141,alps4141::alps_770235030991_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
exact_3f204d18ea94380c,alps4141::alps_8cbc48cff634_to_Equation2,1,alps4141,alps4141::alps_8cbc48cff634_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
exact_f8f071bae7638dbf,alps4141::alps_8be84e7f22a3_to_Equation2,1,alps4141,alps4141::alps_8be84e7f22a3_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
