record_id,paper_dataset,original_problem_id,source_eq_id,target_eq_id,vampire,eprover,twee_complete
austin96::order5_austin_unknown_E12857_to_E2,austin96,order5_austin_unknown_E12857_to_E2,12857,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
austin96::order5_austin_unknown_E33436_to_E2,austin96,order5_austin_unknown_E33436_to_E2,33436,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
austin96::order5_austin_unknown_E19966_to_E2,austin96,order5_austin_unknown_E19966_to_E2,19966,2,resource_exhausted,resource_exhausted,counter_satisfiable
austin96::order5_austin_unknown_E26105_to_E2,austin96,order5_austin_unknown_E26105_to_E2,26105,2,resource_exhausted,resource_exhausted,counter_satisfiable
austin96::order5_austin_unknown_E22619_to_E2,austin96,order5_austin_unknown_E22619_to_E2,22619,2,resource_exhausted,resource_exhausted,counter_satisfiable
austin96::order5_austin_unknown_E22634_to_E2,austin96,order5_austin_unknown_E22634_to_E2,22634,2,resource_exhausted,resource_exhausted,counter_satisfiable
generality34::order5_known_austin10_E4916_to_E2,generality34,order5_known_austin10_E4916_to_E2,4916,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E41082_to_E2,generality34,order5_known_austin10_E41082_to_E2,41082,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E15535_to_E2,generality34,order5_known_austin10_E15535_to_E2,15535,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E30591_to_E2,generality34,order5_known_austin10_E30591_to_E2,30591,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E17522_to_E2,generality34,order5_known_austin10_E17522_to_E2,17522,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E28770_to_E2,generality34,order5_known_austin10_E28770_to_E2,28770,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E20034_to_E2,generality34,order5_known_austin10_E20034_to_E2,20034,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E25964_to_E2,generality34,order5_known_austin10_E25964_to_E2,25964,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E22455_to_E2,generality34,order5_known_austin10_E22455_to_E2,22455,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_known_austin10_E22818_to_E2,generality34,order5_known_austin10_E22818_to_E2,22818,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_unknown_finite_status24_E17260_to_E2,generality34,order5_unknown_finite_status24_E17260_to_E2,17260,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
generality34::order5_unknown_finite_status24_E28740_to_E2,generality34,order5_unknown_finite_status24_E28740_to_E2,28740,2,completed_no_decisive_result,completed_no_proof,counter_satisfiable
alps4141::alps_2871d801403c_to_Equation2,alps4141,alps_2871d801403c_to_Equation2,,,resource_exhausted,resource_exhausted,counter_satisfiable
alps4141::alps_5f6e2e021a7a_to_Equation2,alps4141,alps_5f6e2e021a7a_to_Equation2,,,resource_exhausted,resource_exhausted,counter_satisfiable
alps4141::alps_7389dfd73915_to_Equation2,alps4141,alps_7389dfd73915_to_Equation2,,,resource_exhausted,resource_exhausted,counter_satisfiable
alps4141::alps_08a40e6305c5_to_Equation2,alps4141,alps_08a40e6305c5_to_Equation2,,,resource_exhausted,resource_exhausted,counter_satisfiable
