record_id,paper_dataset,original_problem_id,source_eq_id,target_eq_id,vampire,eprover,twee_complete
austin96::order5_austin_unknown_E5834_to_E2,austin96,order5_austin_unknown_E5834_to_E2,5834,2,resource_exhausted,resource_exhausted,theorem
austin96::order5_austin_unknown_E40037_to_E2,austin96,order5_austin_unknown_E40037_to_E2,40037,2,resource_exhausted,resource_exhausted,theorem
alps4141::alps_f22c976b5a81_to_Equation2,alps4141,alps_f22c976b5a81_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_42821b31d54f_to_Equation2,alps4141,alps_42821b31d54f_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_7a410311639f_to_Equation2,alps4141,alps_7a410311639f_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_8aa7f62a526f_to_Equation2,alps4141,alps_8aa7f62a526f_to_Equation2,,,memory_limit,theorem,theorem
alps4141::alps_bb2496c16e9f_to_Equation2,alps4141,alps_bb2496c16e9f_to_Equation2,,,theorem,resource_exhausted,theorem
alps4141::alps_193f51676385_to_Equation2,alps4141,alps_193f51676385_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_c7a29bf823d5_to_Equation2,alps4141,alps_c7a29bf823d5_to_Equation2,,,memory_limit,theorem,theorem
alps4141::alps_337fc5773860_to_Equation2,alps4141,alps_337fc5773860_to_Equation2,,,memory_limit,resource_exhausted,theorem
alps4141::alps_70b6c7ef2ec6_to_Equation2,alps4141,alps_70b6c7ef2ec6_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_5779b8f67104_to_Equation2,alps4141,alps_5779b8f67104_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_9b4f7b013951_to_Equation2,alps4141,alps_9b4f7b013951_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_999577ae9e8d_to_Equation2,alps4141,alps_999577ae9e8d_to_Equation2,,,theorem,resource_exhausted,theorem
alps4141::alps_9bed69f7afad_to_Equation2,alps4141,alps_9bed69f7afad_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_ab317517b756_to_Equation2,alps4141,alps_ab317517b756_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_5b55506bc467_to_Equation2,alps4141,alps_5b55506bc467_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_deacef119475_to_Equation2,alps4141,alps_deacef119475_to_Equation2,,,memory_limit,resource_exhausted,theorem
alps4141::alps_a04be0bd7d5b_to_Equation2,alps4141,alps_a04be0bd7d5b_to_Equation2,,,theorem,resource_exhausted,resource_exhausted
alps4141::alps_c752bd4f91be_to_Equation2,alps4141,alps_c752bd4f91be_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_d1c6260e2c7f_to_Equation2,alps4141,alps_d1c6260e2c7f_to_Equation2,,,theorem,resource_exhausted,resource_exhausted
alps4141::alps_911cb1df6c3d_to_Equation2,alps4141,alps_911cb1df6c3d_to_Equation2,,,theorem,resource_exhausted,theorem
alps4141::alps_83bf95013ea1_to_Equation2,alps4141,alps_83bf95013ea1_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_6a214b54047d_to_Equation2,alps4141,alps_6a214b54047d_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_cc9c36e4db54_to_Equation2,alps4141,alps_cc9c36e4db54_to_Equation2,,,memory_limit,theorem,theorem
alps4141::alps_5f59412dbeaf_to_Equation2,alps4141,alps_5f59412dbeaf_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_8626b4a5b338_to_Equation2,alps4141,alps_8626b4a5b338_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_8b019e4e1824_to_Equation2,alps4141,alps_8b019e4e1824_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_3366cbced5f6_to_Equation2,alps4141,alps_3366cbced5f6_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_5a6b57287d5f_to_Equation2,alps4141,alps_5a6b57287d5f_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_21caecbcb0e2_to_Equation2,alps4141,alps_21caecbcb0e2_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_ab400187c5b5_to_Equation2,alps4141,alps_ab400187c5b5_to_Equation2,,,memory_limit,resource_exhausted,theorem
alps4141::alps_ac9ecf9f1cb6_to_Equation2,alps4141,alps_ac9ecf9f1cb6_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_ca0ad794efaf_to_Equation2,alps4141,alps_ca0ad794efaf_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_4e04d1d04685_to_Equation2,alps4141,alps_4e04d1d04685_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_0bb0f8194119_to_Equation2,alps4141,alps_0bb0f8194119_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_56d4a05a4620_to_Equation2,alps4141,alps_56d4a05a4620_to_Equation2,,,theorem,memory_limit,theorem
alps4141::alps_8d62b8fe874b_to_Equation2,alps4141,alps_8d62b8fe874b_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_dca08f44e711_to_Equation2,alps4141,alps_dca08f44e711_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_bb8606ca8f65_to_Equation2,alps4141,alps_bb8606ca8f65_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_749bf234b29b_to_Equation2,alps4141,alps_749bf234b29b_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_f5d5a5a573de_to_Equation2,alps4141,alps_f5d5a5a573de_to_Equation2,,,theorem,theorem,theorem
