equation_id,dual_pair_index,equation,our_status,our_verdict,subprocedure,orientation,certificate_sha256,known_in_alps_before_our_work,alps_stage,alps_config,alps_screening_status,alps_pool_tier,alps_pool_baseline_resolution,novel_relative_to_alps
E4952,1,x = y * (x * (y * (y * (z * y)))),accepted,false,trace,selected tuned profile,52f4537a8fbb40b2b336169801c1e0652d76a3c693a1d86bb20529486f1b2e53,no,,,NO_FINITE_MODEL,hard,null,yes
E41252,1,x = ((((y * z) * y) * y) * x) * y,accepted,false,trace,selected tuned profile,5ab0b6c6b046f39be9b9fa473c24370b0a27223e480f7de813a1c286503485a8,no,,,,not-in-pool,null,yes
E4957,2,x = y * (x * (y * (z * (x * z)))),accepted,false,trace,selected tuned profile,8592ec0df5e47def1ae3343108327886cc88ab5b8ebce290f0b0fadbe7126b0a,no,,,,not-in-pool,null,yes
E40914,2,x = ((((y * x) * y) * z) * x) * z,accepted,false,trace,selected tuned profile,90ec56db96e6dd3f95a5081824214a09a1e5786fc3828e1e2e478425099eb9fc,no,,,NO_FINITE_MODEL,hard,null,yes
E5012,3,x = y * (x * (z * (z * (y * z)))),accepted,false,trace,selected tuned profile,5c8e35b58cc15e4cea24f3ed213b90c68c7ffc096d62976f599958a58bbec59b,no,,,,not-in-pool,null,yes
E41253,3,x = ((((y * z) * y) * y) * x) * z,accepted,false,trace,selected tuned profile,56c727377bd5ac94a6da3ccc179d5a34bdb7030126d57eb423a126122fd7beed,no,,,NO_FINITE_MODEL,hard,null,yes
E5066,4,x = y * (y * (x * (y * (z * y)))),accepted,false,trace,selected tuned profile,5866ecbc4f29f5b1a55e49c999dccaa14d91c456362192c2039ef6fb57191306,no,,,NO_FINITE_MODEL,hard,null,yes
E41239,4,x = ((((y * z) * y) * x) * y) * y,accepted,false,trace,selected tuned profile,6c006df665fe979710be2567a954d122f77be3c640f969050a0afa878765e82c,no,,,NO_FINITE_MODEL,hard,null,yes
E5141,7,x = y * (y * (z * (y * (x * y)))),accepted,false,trace,selected tuned profile,2dbe205196060cfa9983b36cef080a1f78432dea4dda0245187f53afe3090f15,no,,,NO_FINITE_MODEL,hard,null,yes
E40917,7,x = ((((y * x) * y) * z) * y) * y,accepted,false,trace,selected tuned profile,2624a994bec7d14b080985a01ebff4603f4bd1a0a1e653aee98a996c7ef3c22b,no,,,,not-in-pool,null,yes
E5295,8,x = y * (z * (y * (y * (x * y)))),accepted,false,trace,selected tuned profile,950a62f15e9bb6296d86f1332bdd21facc11449d7e7bdf964a037b890a9743bd,no,,,NO_FINITE_MODEL,hard,null,yes
E40909,8,x = ((((y * x) * y) * y) * z) * y,accepted,false,trace,selected tuned profile,93e5191cc40d1f188d8e68731d247d0c19ed3ca6d7afc4661768585f77f4c896,no,,,NO_FINITE_MODEL,hard,null,yes
E7701,19,x = y * (y * ((x * (z * x)) * y)),accepted,false,trace,selected tuned profile,89c2c12916e9fb8c6adc04ff605b370ff551e5c96adf8fdba93d2430ec0ec720,no,,,NO_FINITE_MODEL,hard,null,yes
E38303,19,x = ((y * ((x * z) * x)) * y) * y,accepted,false,trace,selected tuned profile,2793cbb1cbfc38458de4f17b0acf5fe31dbf115e523f7545eab1ac6734b36974,no,,,NO_FINITE_MODEL,hard,null,yes
E7755,20,x = y * (y * ((z * (x * x)) * y)),accepted,false,trace,selected tuned profile,78aa1b0b4bb6600adbeb3581534c7cf505fde3346435fc44c24f1e39a2f8ec01,no,,,NO_FINITE_MODEL,hard,null,yes
E38249,20,x = ((y * ((x * x) * z)) * y) * y,accepted,false,trace,selected tuned profile,f36256c06f14debaec3f41b724ecfa6c58f1c0a7b5d14b2678ffb6015ea9e6d9,no,,,NO_FINITE_MODEL,hard,null,yes
E9345,24,x = y * ((x * y) * (z * (y * y))),accepted,false,trace,selected tuned profile,2c3a7dc9939551078bafcfff3cb99fe3e38dd64187c48ba1f86674b43efc10bc,no,,,NO_FINITE_MODEL,hard,null,yes
