equivalence_group_id,representative_record_id,member_count,provenance_sources,member_record_ids,vampire_statuses,eprover_statuses,twee_complete_statuses,theorem_any,counter_satisfiable_any,scientific_conflict
alpha_c554d64fed0322d6,alps4141::alps_5bac16893ae3_to_Equation2,1,alps4141,alps4141::alps_5bac16893ae3_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_11db1761a8383599,alps4141::alps_e371e3065ce6_to_Equation2,1,alps4141,alps4141::alps_e371e3065ce6_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_a19e441f6d3331fb,alps4141::alps_d0c21e24ee9c_to_Equation2,1,alps4141,alps4141::alps_d0c21e24ee9c_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_a4965d03ca51aba0,alps4141::alps_62ba47e800b4_to_Equation2,1,alps4141,alps4141::alps_62ba47e800b4_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_d53be962c01fdc78,alps4141::alps_8213dcd0a183_to_Equation2,1,alps4141,alps4141::alps_8213dcd0a183_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_5662a36427f8fd12,alps4141::alps_d523058b4f56_to_Equation2,1,alps4141,alps4141::alps_d523058b4f56_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_b7bd74a121241d35,alps4141::alps_c75dc04bd867_to_Equation2,1,alps4141,alps4141::alps_c75dc04bd867_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_3e3d9305ea6b28de,alps4141::alps_f6cd6e250a92_to_Equation2,1,alps4141,alps4141::alps_f6cd6e250a92_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_9b68e7d2306b101e,alps4141::alps_998afb4852d1_to_Equation2,1,alps4141,alps4141::alps_998afb4852d1_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_1371bcc98108e085,alps4141::alps_80e0dc450f2a_to_Equation2,1,alps4141,alps4141::alps_80e0dc450f2a_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_3233b69bb25d468f,alps4141::alps_58495f9e68db_to_Equation2,1,alps4141,alps4141::alps_58495f9e68db_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_a2ff62ff1fceca79,alps4141::alps_959de96095f5_to_Equation2,1,alps4141,alps4141::alps_959de96095f5_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_a3d6dd2e149f62fa,alps4141::alps_bd6d2e608c18_to_Equation2,1,alps4141,alps4141::alps_bd6d2e608c18_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_eef0f5a9a23ae4ca,alps4141::alps_69dc9b302e96_to_Equation2,1,alps4141,alps4141::alps_69dc9b302e96_to_Equation2,completed_no_decisive_result,resource_exhausted,memory_limit,False,False,False
alpha_e9659b75cbd132da,alps4141::alps_b987262e647c_to_Equation2,1,alps4141,alps4141::alps_b987262e647c_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_4a9c203258544d94,alps4141::alps_87b8169305d1_to_Equation2,1,alps4141,alps4141::alps_87b8169305d1_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_de0b1b3771ebba94,alps4141::alps_75695f7581cc_to_Equation2,1,alps4141,alps4141::alps_75695f7581cc_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_d22d857716b73ee7,alps4141::alps_d6280b42cf1e_to_Equation2,1,alps4141,alps4141::alps_d6280b42cf1e_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_0fc40c6497605d81,alps4141::alps_0abf49aab9aa_to_Equation2,1,alps4141,alps4141::alps_0abf49aab9aa_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_81ae4915d03fd8a2,alps4141::alps_49ddfc741e8c_to_Equation2,1,alps4141,alps4141::alps_49ddfc741e8c_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_0d94fbb2fbaa341d,alps4141::alps_acf9c4439d0e_to_Equation2,1,alps4141,alps4141::alps_acf9c4439d0e_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_46bc975e75bfd662,alps4141::alps_81da55700389_to_Equation2,1,alps4141,alps4141::alps_81da55700389_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_dd10dcc1a2ffe82a,alps4141::alps_b7ceaa792724_to_Equation2,1,alps4141,alps4141::alps_b7ceaa792724_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_c6e446c243ef7091,alps4141::alps_f8b82faf10e4_to_Equation2,1,alps4141,alps4141::alps_f8b82faf10e4_to_Equation2,completed_no_decisive_result,resource_exhausted,memory_limit,False,False,False
alpha_be60ebed9063a296,alps4141::alps_0ca4caa5838e_to_Equation2,1,alps4141,alps4141::alps_0ca4caa5838e_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_8f261aa754cdcaee,alps4141::alps_5ff294c954eb_to_Equation2,1,alps4141,alps4141::alps_5ff294c954eb_to_Equation2,completed_no_decisive_result,resource_exhausted,memory_limit,False,False,False
alpha_f75ee683c927fdcf,alps4141::alps_562f06e1846f_to_Equation2,1,alps4141,alps4141::alps_562f06e1846f_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_7828c4723bb5a062,alps4141::alps_8e7696049342_to_Equation2,1,alps4141,alps4141::alps_8e7696049342_to_Equation2,completed_no_decisive_result,resource_exhausted,memory_limit,False,False,False
alpha_0973467282911bbc,alps4141::alps_b5726b02a4a5_to_Equation2,1,alps4141,alps4141::alps_b5726b02a4a5_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_777f373d4156e62c,alps4141::alps_a6952a0bde9c_to_Equation2,1,alps4141,alps4141::alps_a6952a0bde9c_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_85e79180bbde2c43,alps4141::alps_e6c87ade1bb1_to_Equation2,1,alps4141,alps4141::alps_e6c87ade1bb1_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_056df8be37131b62,alps4141::alps_ca1102910b52_to_Equation2,1,alps4141,alps4141::alps_ca1102910b52_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_fe97e6fac5aa8e23,alps4141::alps_28d7faa06118_to_Equation2,1,alps4141,alps4141::alps_28d7faa06118_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_de7749697b62957b,alps4141::alps_2549de292dd5_to_Equation2,1,alps4141,alps4141::alps_2549de292dd5_to_Equation2,completed_no_decisive_result,resource_exhausted,memory_limit,False,False,False
alpha_d08e712688234e69,alps4141::alps_b5c6a8db3168_to_Equation2,1,alps4141,alps4141::alps_b5c6a8db3168_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_c192bb4aa7db1236,alps4141::alps_a18a85ad3dd7_to_Equation2,1,alps4141,alps4141::alps_a18a85ad3dd7_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_29ef9b6b594eb19e,alps4141::alps_8aa73774f5dd_to_Equation2,1,alps4141,alps4141::alps_8aa73774f5dd_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_ea21896c0e4e09e7,alps4141::alps_c5ca90743645_to_Equation2,1,alps4141,alps4141::alps_c5ca90743645_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_fcbb2065f0893a99,alps4141::alps_a7da396a386a_to_Equation2,1,alps4141,alps4141::alps_a7da396a386a_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_bd561cbdf7b28dd1,alps4141::alps_7de61eb65b72_to_Equation2,1,alps4141,alps4141::alps_7de61eb65b72_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_8b414bdd27329c40,alps4141::alps_8cbc48cff634_to_Equation2,1,alps4141,alps4141::alps_8cbc48cff634_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_e7e75bc92e6b3e77,alps4141::alps_770235030991_to_Equation2,1,alps4141,alps4141::alps_770235030991_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_463ca34362fb6f9b,alps4141::alps_e88b554bab2d_to_Equation2,1,alps4141,alps4141::alps_e88b554bab2d_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_8d1c20d7736608bf,alps4141::alps_a10ea15b94a4_to_Equation2,1,alps4141,alps4141::alps_a10ea15b94a4_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_116bdd8c729cf6b9,alps4141::alps_b7bc5cde3de9_to_Equation2,1,alps4141,alps4141::alps_b7bc5cde3de9_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
alpha_bf1b70061147fca6,alps4141::alps_3da586fe82a3_to_Equation2,1,alps4141,alps4141::alps_3da586fe82a3_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
alpha_94a385bda03c4668,alps4141::alps_18009f302998_to_Equation2,1,alps4141,alps4141::alps_18009f302998_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_0fba404fa1e943dd,alps4141::alps_b41a67cfd674_to_Equation2,1,alps4141,alps4141::alps_b41a67cfd674_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_04b8383b280025cb,alps4141::alps_4c249875f616_to_Equation2,1,alps4141,alps4141::alps_4c249875f616_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_74d0367dad94fea7,alps4141::alps_b1795c2025d8_to_Equation2,1,alps4141,alps4141::alps_b1795c2025d8_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_4f962d558fc8ec04,alps4141::alps_a3e836e1bf54_to_Equation2,1,alps4141,alps4141::alps_a3e836e1bf54_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_c28024c965a5c8e7,alps4141::alps_67611012fc1d_to_Equation2,1,alps4141,alps4141::alps_67611012fc1d_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_142da294d801dd85,alps4141::alps_fe887d19f258_to_Equation2,1,alps4141,alps4141::alps_fe887d19f258_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
alpha_81924bc7c97f4db6,alps4141::alps_cf1a4470bcaa_to_Equation2,1,alps4141,alps4141::alps_cf1a4470bcaa_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
alpha_77a199bc5d865edb,alps4141::alps_4c50884032f8_to_Equation2,1,alps4141,alps4141::alps_4c50884032f8_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_cee07dca25fe3bae,alps4141::alps_f574353c561c_to_Equation2,1,alps4141,alps4141::alps_f574353c561c_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_724f3201036d1001,alps4141::alps_4863b77bc3c3_to_Equation2,1,alps4141,alps4141::alps_4863b77bc3c3_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_60e19cae53407e1a,alps4141::alps_660593a90048_to_Equation2,1,alps4141,alps4141::alps_660593a90048_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_7887d16d58c0dd96,alps4141::alps_b03cbd5c16c0_to_Equation2,1,alps4141,alps4141::alps_b03cbd5c16c0_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_d38959d80af86a84,alps4141::alps_4632d28bafaf_to_Equation2,1,alps4141,alps4141::alps_4632d28bafaf_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_e4fdf4510b909dc6,alps4141::alps_e78c8ba86a95_to_Equation2,1,alps4141,alps4141::alps_e78c8ba86a95_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_468af6283242a449,alps4141::alps_10481add1380_to_Equation2,1,alps4141,alps4141::alps_10481add1380_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_be527d9ab8019f0c,alps4141::alps_bb16b65549e2_to_Equation2,1,alps4141,alps4141::alps_bb16b65549e2_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_063ad35c0c73d222,alps4141::alps_254c64c3c681_to_Equation2,1,alps4141,alps4141::alps_254c64c3c681_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_571f9cfc3727e483,alps4141::alps_3704ef7d1515_to_Equation2,1,alps4141,alps4141::alps_3704ef7d1515_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_85d7fec2b6d7f078,alps4141::alps_c510fa9cdc38_to_Equation2,1,alps4141,alps4141::alps_c510fa9cdc38_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_b1900d912b2433bf,alps4141::alps_a13938efd699_to_Equation2,1,alps4141,alps4141::alps_a13938efd699_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_41bf7b9122389997,alps4141::alps_b2d68349b55b_to_Equation2,1,alps4141,alps4141::alps_b2d68349b55b_to_Equation2,resource_exhausted,resource_exhausted,resource_exhausted,False,False,False
alpha_85404d0fb394a857,alps4141::alps_f7ff953ec48f_to_Equation2,1,alps4141,alps4141::alps_f7ff953ec48f_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_36483624b2d9cd99,alps4141::alps_cad33515843d_to_Equation2,1,alps4141,alps4141::alps_cad33515843d_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_8ed4ef0c78a9027a,alps4141::alps_5218b6ce7271_to_Equation2,1,alps4141,alps4141::alps_5218b6ce7271_to_Equation2,memory_limit,resource_exhausted,memory_limit,False,False,False
alpha_088cffcfb3a40ae8,alps4141::alps_ca43ec3e3901_to_Equation2,1,alps4141,alps4141::alps_ca43ec3e3901_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
alpha_f3d32e98a0175859,alps4141::alps_92a9a60a60b1_to_Equation2,1,alps4141,alps4141::alps_92a9a60a60b1_to_Equation2,memory_limit,resource_exhausted,resource_exhausted,False,False,False
