equivalence,group_id,group_size,sources,record_id,paper_dataset,original_problem_id,source_eq_id,target_eq_id,equation1,equation2
exact,exact_aba4b8aa5a2c16fd,2,alps4141+austin96,austin96::order5_austin_unknown_E40909_to_E2,austin96,order5_austin_unknown_E40909_to_E2,40909,2,x = ((((y * x) * y) * y) * z) * y,x = y
exact,exact_aba4b8aa5a2c16fd,2,alps4141+austin96,alps4141::alps_ef8ed96e525e_to_Equation2,alps4141,alps_ef8ed96e525e_to_Equation2,9000001,2,x =  ((((y * x) * y) * y) * z) * y,x = y
exact,exact_a14b2ffe8e090b52,2,alps4141+austin96,austin96::order5_austin_unknown_E40914_to_E2,austin96,order5_austin_unknown_E40914_to_E2,40914,2,x = ((((y * x) * y) * z) * x) * z,x = y
exact,exact_a14b2ffe8e090b52,2,alps4141+austin96,alps4141::alps_1c0b64ba253c_to_Equation2,alps4141,alps_1c0b64ba253c_to_Equation2,9000002,2,x =  ((((y * x) * y) * z) * x) * z,x = y
exact,exact_a8d5acabc1f1ce87,2,alps4141+austin96,austin96::order5_austin_unknown_E41179_to_E2,austin96,order5_austin_unknown_E41179_to_E2,41179,2,x = ((((y * z) * x) * y) * y) * y,x = y
exact,exact_a8d5acabc1f1ce87,2,alps4141+austin96,alps4141::alps_65ea2cf821fc_to_Equation2,alps4141,alps_65ea2cf821fc_to_Equation2,9000003,2,x =  ((((y * z) * x) * y) * y) * y,x = y
exact,exact_f4f330dca780919a,2,alps4141+austin96,austin96::order5_austin_unknown_E41239_to_E2,austin96,order5_austin_unknown_E41239_to_E2,41239,2,x = ((((y * z) * y) * x) * y) * y,x = y
exact,exact_f4f330dca780919a,2,alps4141+austin96,alps4141::alps_b053d2a06e12_to_Equation2,alps4141,alps_b053d2a06e12_to_Equation2,9000004,2,x =  ((((y * z) * y) * x) * y) * y,x = y
exact,exact_a7afafa4c5433b68,2,alps4141+austin96,austin96::order5_austin_unknown_E41253_to_E2,austin96,order5_austin_unknown_E41253_to_E2,41253,2,x = ((((y * z) * y) * y) * x) * z,x = y
exact,exact_a7afafa4c5433b68,2,alps4141+austin96,alps4141::alps_33e0f69d0242_to_Equation2,alps4141,alps_33e0f69d0242_to_Equation2,9000005,2,x =  ((((y * z) * y) * y) * x) * z,x = y
exact,exact_d7deec8a493848c4,2,alps4141+austin96,austin96::order5_austin_unknown_E40037_to_E2,austin96,order5_austin_unknown_E40037_to_E2,40037,2,x = (((y * (x * y)) * z) * x) * z,x = y
exact,exact_d7deec8a493848c4,2,alps4141+austin96,alps4141::alps_f22c976b5a81_to_Equation2,alps4141,alps_f22c976b5a81_to_Equation2,9000006,2,x =  (((y * (x * y)) * z) * x) * z,x = y
exact,exact_0b9e710f6670b882,2,alps4141+austin96,austin96::order5_austin_unknown_E40057_to_E2,austin96,order5_austin_unknown_E40057_to_E2,40057,2,x = (((y * (x * z)) * x) * y) * y,x = y
exact,exact_0b9e710f6670b882,2,alps4141+austin96,alps4141::alps_8f54e4f4ed21_to_Equation2,alps4141,alps_8f54e4f4ed21_to_Equation2,9000007,2,x =  (((y * (x * z)) * x) * y) * y,x = y
exact,exact_bec9c43687275b0a,2,alps4141+austin96,austin96::order5_austin_unknown_E40070_to_E2,austin96,order5_austin_unknown_E40070_to_E2,40070,2,x = (((y * (x * z)) * y) * x) * y,x = y
exact,exact_bec9c43687275b0a,2,alps4141+austin96,alps4141::alps_37734d7c3058_to_Equation2,alps4141,alps_37734d7c3058_to_Equation2,9000008,2,x =  (((y * (x * z)) * y) * x) * y,x = y
exact,exact_5d1b9c69b962760b,2,alps4141+austin96,austin96::order5_austin_unknown_E40208_to_E2,austin96,order5_austin_unknown_E40208_to_E2,40208,2,x = (((y * (y * z)) * x) * y) * y,x = y
exact,exact_5d1b9c69b962760b,2,alps4141+austin96,alps4141::alps_24226510ea8d_to_Equation2,alps4141,alps_24226510ea8d_to_Equation2,9000009,2,x =  (((y * (y * z)) * x) * y) * y,x = y
exact,exact_6bff283b83a3cfa9,2,alps4141+austin96,austin96::order5_austin_unknown_E40221_to_E2,austin96,order5_austin_unknown_E40221_to_E2,40221,2,x = (((y * (y * z)) * y) * x) * y,x = y
